metric,mean_240,std_240,mean_242,std_242,mean_paired_delta,std_paired_delta,positive_pairs,pairs
neutral_rank_ic,0.028561635322575794,0.0020231645442784275,0.028406442446637096,0.0011506256067839952,0.00015519287593869732,0.0008970841812046228,2,3
neutral_rank_ic_ir,0.684347815787672,0.0740353946493322,0.6876401401451936,0.05067630204191027,-0.003292324357521544,0.02462082786021481,2,3
long_short_sharpe,7.639835069709228,1.137003903530845,7.3880994181650355,0.9650711917082472,0.2517356515441926,0.1740557148557683,3,3
stress_ic_ir,0.39419792690534394,0.07471599760242162,0.39295272434832484,0.05042800452750684,0.0012452025570191168,0.033472081485513165,2,3
