date,series,closing_nav,daily_return,cumulative_return_pct,running_peak_nav,drawdown_pct,one_way_turnover
2025-01-02,daily_decile,1.0,0.0,0.0,1.0,0.0,0.0
2025-01-03,daily_decile,1.01116427136493,0.011164271364930034,1.1164271364930034,1.01116427136493,0.0,0.9989012086704624
2025-01-06,daily_decile,1.0101218565776466,-0.0010309054787668304,1.0121856577646637,1.01116427136493,-0.10309054787668304,1.5318637663331578
2025-01-07,daily_decile,0.9972051631934165,-0.012787262546711697,-0.2794836806583545,1.01116427136493,-1.3804985566460704,1.6222554098357078
2025-01-08,daily_decile,0.9866980453192512,-0.010536565856235303,-1.3301954680748795,1.01116427136493,-2.419609428313052,1.510123272292194
2025-01-09,daily_decile,0.9674064304404968,-0.01955169058079209,-3.259356955950321,1.01116427136493,-4.3274710315235225,1.4612090782015317
2025-01-10,daily_decile,0.9678684480422938,0.0004775837613428813,-3.213155195770623,1.01116427136493,-4.281779385281581,1.37615209001703
2025-01-13,daily_decile,0.968212857159614,0.0003558429020151799,-3.1787142840385973,1.01116427136493,-4.2477187358823105,1.5181118427265206
2025-01-14,daily_decile,0.95839749002021,-0.010137612888346359,-4.1602509979789986,1.01116427136493,-5.218418296514004,1.5278834447931513
2025-01-15,daily_decile,0.955956050273817,-0.0025474187608124366,-4.404394972618297,1.01116427136493,-5.459866675924941,1.522954126059758
2025-01-16,daily_decile,0.956864782042232,0.0009505999445840185,-4.313521795776798,1.01116427136493,-5.369996830426105,1.4659913967222304
2025-01-17,daily_decile,0.9552241843031124,-0.0017145554627040482,-4.47758156968876,1.01116427136493,-5.532245219296206,1.4792499319990302
2025-01-20,daily_decile,0.9608406272301866,0.00587971181987168,-3.9159372769813405,1.01116427136493,-4.976802044915374,1.4892272369040052
2025-01-21,daily_decile,0.9487358140123656,-0.012598148823822597,-5.126418598763438,1.01116427136493,-6.173918434469083,1.4662715108501538
2025-01-22,daily_decile,0.9492590100689652,0.000551466539865153,-5.0740989931034814,1.01116427136493,-6.122176489919029,1.4952608424863614
2025-01-23,daily_decile,0.955571761126785,0.00665018818979779,-4.4428238873215005,1.01116427136493,-5.497871296728373,1.5136437903255906
2025-01-24,daily_decile,0.950505700333452,-0.005301601616354956,-4.949429966654795,1.01116427136493,-5.998883935010624,1.5629251192219176
2025-01-27,daily_decile,0.9633763220419496,0.01354081485674663,-3.662367795805044,1.01116427136493,-4.7260322260470495,1.6721116864331875
2025-02-05,daily_decile,0.9472453385392294,-0.016744218363732744,-5.275466146077057,1.01116427136493,-6.3213203468333585,1.607343539976613
2025-02-06,daily_decile,0.9241640700172274,-0.024366726953332085,-7.583592998277256,1.01116427136493,-8.603963155290728,1.566465576177307
2025-02-07,daily_decile,0.9253412756340432,0.001273805869550726,-7.465872436595678,1.01116427136493,-8.48754234710427,1.4966288954124125
2025-02-10,daily_decile,0.9203632461172916,-0.005379668720970732,-7.9636753882708415,1.01116427136493,-8.979849053118716,1.485881935040067
2025-02-11,daily_decile,0.9184847729065946,-0.0020410128485917056,-8.151522709340542,1.01116427136493,-9.165622350682067,1.5848859327643443
2025-02-12,daily_decile,0.9069699181542452,-0.012536794394435113,-9.303008184575479,1.01116427136493,-10.304394267218031,1.5031660087775989
2025-02-13,daily_decile,0.9087399218668106,0.001951557242568125,-9.126007813318937,1.01116427136493,-10.129348158223673,1.442581777938235
2025-02-14,daily_decile,0.9045233939033496,-0.004639972187861052,-9.547660609665042,1.01116427136493,-10.546345483274466,1.4778628786851262
2025-02-17,daily_decile,0.906713847893047,0.0024216664869713966,-9.3286152106953,1.01116427136493,-10.329718565994195,1.5522512898978231
2025-02-18,daily_decile,0.9150254073376332,0.009166684135132552,-8.497459266236685,1.01116427136493,-9.507739419780215,1.466877861404633
2025-02-19,daily_decile,0.911563395153596,-0.003783514814206357,-8.843660484640402,1.01116427136493,-9.85011822825651,1.6226222509414878
2025-02-20,daily_decile,0.9108853333106828,-0.0007438449662614532,-8.911466668931723,1.01116427136493,-9.91717576402148,1.537205384743635
2025-02-21,daily_decile,0.890678151529146,-0.02218411148205912,-10.932184847085402,1.01116427136493,-11.915583179491174,1.5251935313985738
2025-02-24,daily_decile,0.8945156604258739,0.004308524791070356,-10.548433957412605,1.01116427136493,-11.536069285913042,1.4783887629831716
2025-02-25,daily_decile,0.8998010858180986,0.005908700793128885,-10.019891418190142,1.01116427136493,-11.01336238833941,1.455507851660318
2025-02-26,daily_decile,0.9045831764476712,0.005314608645114793,-9.541682355232883,1.01116427136493,-10.540433234788782,1.647825091302522
2025-02-27,daily_decile,0.9086246625730562,0.0044677882925658885,-9.137533742694382,1.01116427136493,-10.140746829737147,1.5567905261446051
2025-02-28,daily_decile,0.918718065188998,0.011108440076190718,-8.1281934811002,1.01116427136493,-9.142550700604025,1.462965757644616
2025-03-03,daily_decile,0.9118880679352892,-0.007434269023874895,-8.81119320647108,1.01116427136493,-9.818009421518802,1.6632962683162122
2025-03-04,daily_decile,0.8991047001136013,-0.014018571216346976,-10.089529988639867,1.01116427136493,-11.082232078875176,1.6691409187459143
2025-03-05,daily_decile,0.8912013996406795,-0.008790189253735758,-10.879860035932055,1.01116427136493,-11.86383608692162,1.4794789063681948
2025-03-06,daily_decile,0.8844894314771318,-0.007531370761147627,-11.551056852286823,1.01116427136493,-12.527622214816292,1.415897987612434
2025-03-07,daily_decile,0.8862102654605543,0.0019455676033897085,-11.378973453944575,1.01116427136493,-12.357438790405972,1.4619566324302082
2025-03-10,daily_decile,0.8856148914249403,-0.0006718202878236434,-11.438510857505968,1.01116427136493,-12.416318841103402,1.5489879089368277
2025-03-11,daily_decile,0.8878850512973757,0.0025633713868369323,-11.211494870262428,1.01116427136493,-12.191809338866832,1.3916187584397497
2025-03-12,daily_decile,0.8828088526995213,-0.005717179932736904,-11.719114730047874,1.01116427136493,-12.6938245644446,1.5041194312064812
2025-03-13,daily_decile,0.8923438153471888,0.010800710276647862,-10.765618465281124,1.01116427136493,-11.750855858202968,1.4904311575041698
2025-03-14,daily_decile,0.895682211321547,0.0037411543812395642,-10.4317788678453,1.01116427136493,-11.420702185956234,1.6344562908168063
2025-03-17,daily_decile,0.8973653599795905,0.0018791806254141452,-10.263464002040944,1.01116427136493,-11.2542456856913,1.4999962847674075
2025-03-18,daily_decile,0.8977304558024507,0.0004068530379515156,-10.22695441975493,1.01116427136493,-11.218139205943222,1.5517469580950036
2025-03-19,daily_decile,0.9039962935394036,0.006979642604808545,-9.600370646059641,1.01116427136493,-10.59847354781085,1.5549290470794297
2025-03-20,daily_decile,0.9171942302439527,0.014599547364155141,-8.280576975604726,1.01116427136493,-9.293251727944352,1.5617142425353967
2025-03-21,daily_decile,0.9240491960227732,0.007473843110632261,-7.5950803977226755,1.01116427136493,-8.615323722283385,1.5686688635408637
2025-03-24,daily_decile,0.916783424971307,-0.007862969940062747,-8.321657502869295,1.01116427136493,-9.333878684837437,1.5990279105533864
2025-03-25,daily_decile,0.9376845506717388,0.02279832415282379,-6.231544932826116,1.01116427136493,-7.266843061415118,1.462201390036429
2025-03-26,daily_decile,0.9342877480548508,-0.0036225430124178226,-6.571225194514918,1.01116427136493,-7.60277291110244,1.4866766149251185
2025-03-27,daily_decile,0.931360599655317,-0.0031330266351324854,-6.863940034468296,1.01116427136493,-7.892255884584332,1.496630998994606
2025-03-28,daily_decile,0.926791861951465,-0.004905444470748366,-7.320813804853499,1.01116427136493,-8.344085308668403,1.5692953226187487
2025-03-31,daily_decile,0.9201878172821922,-0.007125704206516481,-7.981218271780777,1.01116427136493,-8.997198245536541,1.5078408758710988
2025-04-01,daily_decile,0.9235706485964964,0.0036762400574867904,-7.64293514035036,1.01116427136493,-8.662650100383251,1.5399031464176238
2025-04-02,daily_decile,0.92350839294896,-6.740756392698e-05,-7.649160705103997,1.01116427136493,-8.668806928635531,1.413185423382045
2025-04-03,daily_decile,0.9363496870933457,0.013904902481049142,-6.365031290665435,1.01116427136493,-7.398855595500342,1.5789350023666662
