metric,mean_paired_delta_raw40_minus_baseline17,std_paired_delta,positive_seeds,seed_count
rank_ic,0.0008793977912851849,0.0008440871828348381,2,3
rank_ic_ir,-0.07281474347022199,0.08055681328813713,1,3
long_short_sharpe,0.5870950181745757,0.6945421725648632,2,3
stress_ic_ir,-0.04607794250223803,0.042846353547237696,1,3
