period,start,end,days,average_target_turnover,one_way_cost_bp,annualized_return,annualized_sharpe,total_return,max_drawdown
full_oos,2025-01-02,2026-08-27,401,1.5758226920136842,0,0.35397088150983824,7.13467780862051,0.7522847501267109,-0.01683696052303585
full_oos,2025-01-02,2026-08-27,401,1.5758226920136842,5,0.15541722231611405,3.132057470168173,0.2779833063198933,-0.03285577499942571
full_oos,2025-01-02,2026-08-27,401,1.5758226920136842,10,-0.043136436877610186,-0.8690985795977134,-0.06816808752389747,-0.07905262706960137
full_oos,2025-01-02,2026-08-27,401,1.5758226920136842,20,-0.4402437552650586,-8.86375748054589,-0.5049633062278331,-0.5070426419768492
block_01,2025-01-02,2025-04-03,60,1.559293551088777,0,0.2207969561147331,4.580610125149607,0.053666468046103644,-0.01200822796711154
block_01,2025-01-02,2025-04-03,60,1.559293551088777,5,0.024325968677547175,0.5036782415048288,0.005533660859516232,-0.021704143040188417
block_01,2025-01-02,2025-04-03,60,1.559293551088777,10,-0.17214501875963878,-3.5567203959017255,-0.04043547462303443,-0.051311977039503076
block_01,2025-01-02,2025-04-03,60,1.559293551088777,20,-0.5650869936340106,-11.619234485816214,-0.12626129605379588,-0.12993131919606127
block_02,2025-04-07,2025-07-03,60,1.5745649078726969,0,0.4280638934242066,10.363713945760674,0.10697933341014099,-0.0036973201322949567
block_02,2025-04-07,2025-07-03,60,1.5745649078726969,5,0.22966871503224678,5.511105872875667,0.055965740356218596,-0.005390451050586109
block_02,2025-04-07,2025-07-03,60,1.5745649078726969,10,0.031273536640286974,0.7436867266158889,0.007265519006790067,-0.017071812304114364
block_02,2025-04-07,2025-07-03,60,1.5745649078726969,20,-0.36551682014363246,-8.533495384284583,-0.08360309353051254,-0.0965560153534819
block_03,2025-07-04,2025-09-25,60,1.5535,0,0.4474093385338784,8.635088586829221,0.11195393997555247,-0.008279204666614692
block_03,2025-07-04,2025-09-25,60,1.5535,5,0.2516683385338784,4.861993262401124,0.06138902988389772,-0.01054961154369094
block_03,2025-07-04,2025-09-25,60,1.5535,10,0.055927338533878365,1.081343338704287,0.013086799412386663,-0.01407012630961535
block_03,2025-07-04,2025-09-25,60,1.5535,20,-0.33555466146612173,-6.495278766910413,-0.07712373263391403,-0.07394804833321722
block_04,2025-09-26,2025-12-26,60,1.5699999999999998,0,0.42092340356111524,10.5531981943801,0.10511618486969598,-0.0048430487513543286
block_04,2025-09-26,2025-12-26,60,1.5699999999999998,5,0.2231034035611153,5.595513830012768,0.05433519037080381,-0.00639393242019437
block_04,2025-09-26,2025-12-26,60,1.5699999999999998,10,0.025283403561115296,0.634157881946091,0.005850391612989725,-0.012499921354942267
block_04,2025-09-26,2025-12-26,60,1.5699999999999998,20,-0.3703565964388847,-9.282481544447325,-0.0846347199783033,-0.08371113038424471
block_05,2025-12-29,2026-04-01,60,1.5727742881072027,0,0.4163453319659785,8.078285955452703,0.10377741863544543,-0.007882455587386983
block_05,2025-12-29,2026-04-01,60,1.5727742881072027,5,0.21817577166447097,4.222249699901564,0.05296743657099667,-0.008948815301661472
block_05,2025-12-29,2026-04-01,60,1.5727742881072027,10,0.020006211362963457,0.3861023414088176,0.004459057160887792,-0.015737820801729807
