view,metric,n,baseline_mean,e12_mean,mean_difference,sd_difference,t,p,ci_low,ci_high,relative_difference_pct,relative_ci_low_pct,relative_ci_high_pct
raw,ic,5,0.0637304419358052,0.06427502000584581,0.0005445780700406175,0.0013975557654137564,0.8713166327970817,0.4327547083850692,-0.001190716609355749,0.002279872749436984,0.8545022653211216,-1.8683639610645437,3.5773684917067867
raw,ir,5,0.5214331164285131,0.49940691179739716,-0.02202620463111592,0.026507439704464748,-1.8580478307454253,0.13670910343832438,-0.05493953819670683,0.010887128934474983,-4.224166808196128,-10.536257952507485,2.0879243361152295
raw,sharpe,5,4.44876137385579,4.1923191237662065,-0.2564422500895832,0.25956406342700244,-2.2091744748192923,0.09171037822396702,-0.5787336028743705,0.06584910269520405,-5.764351659691783,-13.008870430215405,1.4801671108318384
raw,stress_ic,5,0.039469896748427706,0.03803375571839519,-0.001436141030032513,0.0024342596811334142,-1.319213801764178,0.2575458193906533,-0.004458673638374848,0.0015863915783098218,-3.6385730603405295,-11.296390428364777,4.019244307683719
raw,stress_ir,5,0.317852334556341,0.29285658912370566,-0.02499574543263535,0.024422756257783597,-2.2885289991722186,0.08399308679435802,-0.05532060261483093,0.005329111749560231,-7.863948983582099,-17.404497812497603,1.6765998453334054
full,ic,5,0.03853874471049684,0.03870522397604233,0.00016647926554548692,0.0011960775053382635,0.31123313743674874,0.7711690118622719,-0.0013186471118944055,0.0016516056429853791,0.43197895208076864,-3.421614071242035,4.285571975403572
full,ir,5,0.8666818463382198,0.8397496177876649,-0.026932228550554882,0.03265511797189304,-1.8441915866430483,0.13892158898078727,-0.06747891289335119,0.013614455792241423,-3.107510404694074,-7.785892040828298,1.57087123144015
full,sharpe,5,6.6066262305100505,6.550102606921617,-0.05652362358843384,0.8107958916451782,-0.15588468809565695,0.8836746084634574,-1.0632596921357718,0.950212444958904,-0.8555595793720276,-16.093837535799043,14.382718377054983
full,stress_ic,5,0.030825233193368384,0.029118237305750996,-0.00170699588761739,0.003013814348375617,-1.2664877131805867,0.274067193188581,-0.005449140661265331,0.0020351488860305507,-5.537657661531093,-17.677532646979735,6.60221732391755
full,stress_ir,5,0.6518361839003478,0.5925164450630513,-0.059319738837296423,0.043087117652584085,-3.0784832143389864,0.03698614450793202,-0.11281946161287996,-0.005820016061712882,-9.100405945915574,-17.307947057772985,-0.89286483405816
