seed,view,baseline_ic,baseline_ir,baseline_sharpe,baseline_stress_ic,baseline_stress_ir,baseline_days,baseline_stress_days,baseline_rows,e12_ic,e12_ir,e12_sharpe,e12_stress_ic,e12_stress_ir,e12_days,e12_stress_days,e12_rows
20260801,raw,0.06514898428808123,0.5065288080836021,4.100346519093795,0.03974172289016984,0.3003067347918253,240,60,239332,0.06568981706635198,0.503199216630517,3.997879877067205,0.03679790372407383,0.27908187902696824,240,60,239332
20260801,full,0.03817831021461467,0.8227725315359111,5.916359539042393,0.03129427644720612,0.6554046652889247,240,60,239332,0.03908815108694923,0.8446066877225,6.327711972257563,0.02754666280087747,0.5773599011340312,240,60,239332
20260812,raw,0.0629508640315211,0.533520125256059,4.782801745023376,0.03870983300943632,0.3278845682335087,240,60,239332,0.06209167043409406,0.5445841724635228,4.702297039373925,0.04040104439039472,0.342974333368335,240,60,239332
20260812,full,0.03785545934036598,0.8475671517926067,6.300409549816782,0.029640820144695577,0.6066274179900144,240,60,239332,0.038217873088135984,0.8254894150333415,5.921519852254112,0.03143465055120664,0.5769593321618114,240,60,239332
20260823,raw,0.062013519468033663,0.5532294476963638,4.8806017087532005,0.038165751733983254,0.33963933805637914,240,60,239332,0.061397131047717636,0.5008125156149659,4.226913251102371,0.03406480691514086,0.2916157233555581,240,60,239332
20260823,full,0.03900228827136641,0.9283578397815792,8.00705586110982,0.030193185076303815,0.6751623961525257,240,60,239332,0.03709740256739093,0.861208622640765,6.706800539428482,0.025117868279112984,0.5854765369345001,240,60,239332
20260904,raw,0.06538113391731383,0.5005384765149896,4.3036277184717795,0.03958602472069318,0.29565373162439007,240,60,239332,0.06798314926989192,0.45748086720812764,3.9153828370093144,0.0400869673115664,0.2632118609013767,240,60,239332
20260904,full,0.038994670607784214,0.8762508238039756,6.265978152609591,0.02970208758385299,0.6378601702201534,240,60,239332,0.0400434800480369,0.8337718146280813,7.038581472508628,0.030785771138229702,0.6386838999528797,240,60,239332
20260915,raw,0.06315770797407613,0.5133487245915507,4.176429177936799,0.04114615138785597,0.32577730007560163,240,60,239332,0.06421333221117345,0.4909577870698523,4.119122614278219,0.03881805625080019,0.28739914896629004,240,60,239332
20260915,full,0.03866299511835294,0.8584608847770262,6.543328049971674,0.033295796714783416,0.6841262698501205,240,60,239332,0.03907921308969861,0.8336715489136365,6.755899198159304,0.030706233759328173,0.5841025551320342,240,60,239332
