arm,seed,epochs,days,neutral_rank_ic,neutral_rank_ic_ir,long_short_sharpe,stress_ic_ir
clock240,20260812,3,241,0.029926011231754274,0.7319008358043658,8.012346759548283,0.4275746757021537
clock242,20260812,3,241,0.029028183973626723,0.7137624920089455,7.731820462428142,0.39410392433427965
