group,rank,route,family,years,J,A,B,score_proxy,a_proxy,b_proxy,a_rank_ic_mean,a_rank_ic_ir,a_long_short_sharpe,a_stress_ic_ir,a_rank_ic_mean_percentile,a_rank_ic_ir_percentile,a_long_short_sharpe_percentile,a_stress_ic_ir_percentile,b_model_score,b_mean_abs_weight,b_std_abs_weight,b_nonzero_window_ratio,score,score_days,score_weight_windows,reference_factor_count,joint_route_count,joint_common_rows
en454_without_m_multiaxis_2019_2024,1,x_tree_frozen,X_tree,"[2019, 2020, 2021, 2022, 2023, 2024]",1.0,1.0,1.0,1.0,1.0,1.0,0.22943435885395483,2.566561982162636,30.696820176195832,2.2396110838149665,1.0,1.0,1.0,1.0,3.888254120041265,0.3766864494484142,0.09687804289924555,1.0,1.0,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,2,x_mlp_frozen,X,"[2019, 2020, 2021, 2022, 2023, 2024]",0.997001332001332,0.9950549450549451,0.9978354978354979,0.997001332001332,0.9950549450549451,0.9978354978354979,0.07454817507917803,1.1076856629608935,7.4403378449534445,0.7622605143119059,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,3.370687068332761,0.12814119183890713,0.03801634184300555,0.9701492537313433,0.997001332001332,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,3,t_frozen,T,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9894255744255744,0.9950549450549451,0.987012987012987,0.9894255744255744,0.9950549450549451,0.987012987012987,0.07969642686981787,1.0287909907042763,7.332432678212561,0.7363526012939515,1.0,0.9956043956043956,0.989010989010989,0.9956043956043956,2.4469950860149656,0.03311886729144954,0.013534505025483323,1.0,0.9894255744255744,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,4,m_raw_frozen,M_raw,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9848484848484849,1.0,0.9783549783549783,0.9848484848484849,1.0,0.9783549783549783,0.07495695735685957,1.3773730467737393,13.814225990214029,1.1125766367001606,1.0,1.0,1.0,1.0,1.8761847191003476,0.018386634578866533,0.00980001296770339,0.9850746268656716,0.9848484848484849,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,5,en454_existing_causal,EN454,"[2019, 2020, 2021, 2022, 2023, 2024]",0.9800932400932401,0.9538461538461538,0.9913419913419913,0.9800932400932401,0.9538461538461538,0.9913419913419913,0.04023308797019246,0.5830822038602654,5.062684125159467,0.40538096068282353,0.9714285714285714,0.9406593406593406,0.9758241758241758,0.9274725274725275,2.8376248226706493,0.02872093573737741,0.010121470430156754,1.0,0.9800932400932401,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,6,t_residual_frozen,T_res,"[2019, 2020, 2021, 2022, 2023, 2024]",0.6344222444222444,0.8824175824175824,0.5281385281385281,0.6344222444222444,0.8824175824175824,0.5281385281385281,0.03686749960827583,0.4489715840419952,1.9623999151448746,0.3573823965196094,0.9538461538461539,0.8593406593406593,0.8153846153846154,0.9010989010989011,1.0252276917189327,0.00538938793614411,0.005256771718761171,0.7611940298507462,0.6344222444222444,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,7,pema_full454,EN454_positive_ema,"[2019, 2020, 2021, 2022, 2023, 2024]",0.4289327339327339,0.9247252747252748,0.21645021645021645,0.4289327339327339,0.9247252747252748,0.21645021645021645,0.04052046047980977,0.5362668264680149,3.783227677814801,0.3068223002411373,0.9736263736263736,0.9076923076923077,0.9648351648351648,0.8527472527472527,0.8168423144096408,0.009473125569258613,0.011597251270324205,0.6716417910447762,0.4289327339327339,1394.0,67.0,454.0,8.0,1391994.0
en454_without_m_multiaxis_2019_2024,8,clean_pema,EN454_clean_positive_ema,"[2019, 2020, 2021, 2022, 2023, 2024]",0.32425407925407923,0.9192307692307693,0.06926406926406926,0.32425407925407923,0.9192307692307693,0.06926406926406926,0.041043066653450186,0.5350179983191875,3.5044134962360123,0.2919239625770127,0.9736263736263736,0.9054945054945055,0.9538461538461539,0.843956043956044,0.6765257096093741,0.008097060819043914,0.011968592920204956,0.582089552238806,0.32425407925407923,1394.0,67.0,454.0,8.0,1391994.0
