strategy,strategy_name,cost_bps,phase,days,signal_start,signal_end,entry_start,exit_end,annualized_return,cagr,sharpe,max_drawdown,total_return,average_one_way_turnover,average_traded_nav_ratio,annualized_cost_drag,mean_gross_exposure,max_abs_net_exposure,blocked_trade_name_events,missing_price_held_events,terminal_residual_value,gross_annualized_return_0bp
baseline_daily,每日五分位,10.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.3959772486322793,-0.32827702985897655,-6.964342955527652,-0.4738350391363372,-0.4682607366684636,1.408741627539311,2.817483255078622,0.7100057802798128,2.001050635611697,0.010969676598157129,192,145,0.0,0.31494333426458687
buffer_20_30,排名缓冲区,10.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.2200946903327446,-0.19890229604061838,-3.9142932933425527,-0.3090853102172254,-0.2967336776676187,1.1625930687156711,2.3251861374313423,0.5859469066326982,2.0011325886945603,0.010928715002196155,180,143,0.0,0.36673162012986266
rebalance_3d,每三日调仓,10.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.10540349891839115,-0.1015235826281845,-1.8467246071558094,-0.18033720369228834,-0.1562746781031864,0.4844332020098754,0.9688664040197508,0.2441543338129772,2.0034425398149187,0.019209792684908918,100,260,0.004608795762320696,0.13900386537328988
partial_50,每日调整50%,10.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.07910517314165959,-0.07705514207950848,-1.7100439534560106,-0.14586203045663204,-0.11951204367104151,0.7277599193264096,1.4555198386528192,0.3667909993405104,2.0017800602982128,0.0068677705947954,894,891,0.003427350719822794,0.28812034229561967
